package,old,new,delta
xplorerr,0.1.2,0.2.0,*
base64enc,0.1-3,0.1-3,
bslib,0.8.0,0.8.0,
cachem,1.1.0,1.1.0,
cli,3.6.3,3.6.3,
commonmark,1.9.2,1.9.2,
crayon,1.5.3,1.5.3,
digest,0.6.37,0.6.37,
fastmap,1.2.0,1.2.0,
fontawesome,0.5.2,0.5.2,
fs,1.6.4,1.6.4,
glue,1.8.0,1.8.0,
htmltools,0.5.8.1,0.5.8.1,
httpuv,1.6.15,1.6.15,
jquerylib,0.1.4,0.1.4,
jsonlite,1.8.9,1.8.9,
later,1.3.2,1.3.2,
lifecycle,1.0.4,1.0.4,
magrittr,2.0.3,2.0.3,
memoise,2.0.1,2.0.1,
mime,0.12,0.12,
promises,1.3.0,1.3.0,
R6,2.5.1,2.5.1,
rappdirs,0.3.3,0.3.3,
Rcpp,1.0.13,1.0.13,
rlang,1.1.4,1.1.4,
sass,0.4.9,0.4.9,
shiny,1.9.1,1.9.1,
sourcetools,0.1.7-1,0.1.7-1,
withr,3.0.1,3.0.1,
xtable,1.8-4,1.8-4,
